release_date,title,release_year,vote_average,vote_count
1990-12-23,Green Card,1990,5.9,97.0
1959-12-14,Journey to the Center of the Earth,1959,6.7,107.0
1991-05-03,One Good Cop,1991,4.8,18.0
1983-02-23,Pauline at the Beach,1983,7.8,22.0
1998-01-31,Ringu,1998,6.9,310.0
1999-01-23,Ringu 2,1999,5.4,81.0
1988-08-24,Salaam Bombay!,1988,7.1,19.0
1969-01-01,Sweet Charity,1969,6.5,15.0
1991-04-26,Talent for the Game,1991,6.0,1.0
1969-09-01,Women in Love,1969,5.9,26.0
2002-01-01,Japón,2002,7.3,10.0
2002-10-01,Boat Trip,2002,4.7,148.0
2003-03-21,Dreamcatcher,2003,5.2,574.0
2003-03-16,Piglet's Big Movie,2003,6.1,76.0
2003-03-21,View from the Top,2003,5.0,145.0
2003-03-20,Down & Out With The Dolls,2003,0.0,0.0
1937-01-01,The Awful Truth,1937,7.2,48.0
1966-09-28,The Bible: In the Beginning...,1966,6.2,34.0
1976-08-16,The House with Laughing Windows,1976,6.9,49.0
1967-01-01,I Am Curious (Yellow),1967,4.7,17.0
1945-09-21,Les Dames du Bois de Boulogne,1945,7.6,18.0
1943-05-26,My Friend Flicka,1943,3.8,2.0
1953-09-16,The Robe,1953,6.4,43.0
1992-09-11,Wind,1992,6.1,10.0
2002-06-06,Unknown Pleasures,2002,6.8,11.0
2003-04-18,Basic,2003,6.2,290.0
2003-03-28,The Core,2003,5.5,531.0
2003-01-01,Head of State,2003,5.3,71.0
2003-03-27,What a Girl Wants,2003,5.8,377.0
2002-09-11,Assassination Tango,2002,5.3,8.0
2002-05-16,Raising Victor Vargas,2002,7.8,14.0
2002-09-09,Stevie,2002,6.7,13.0
1990-05-11,Dreams,1990,7.5,100.0
1973-05-24,Day for Night,1973,8.0,100.0
1997-10-17,Eye of God,1997,6.0,3.0
1950-05-17,In a Lonely Place,1950,7.5,103.0
1989-01-27,Physical Evidence,1989,4.8,12.0
1987-03-01,Square Dance,1987,5.3,3.0
1948-12-30,Wake of the Red Witch,1948,5.2,12.0
1979-05-11,Winter Kills,1979,6.1,5.0
2003-06-20,Fellini: I'm a Born Liar,2003,5.7,3.0
2003-04-03,The Good Thief,2003,6.0,32.0
2003-04-04,A Man Apart,2003,5.8,261.0
2002-09-09,Phone Booth,2002,6.7,1087.0
2001-09-11,Cet Amour-là,2001,7.0,1.0
2001-09-01,Cowboy Bebop: The Movie,2001,7.3,174.0
2003-04-04,DysFunktional Family,2003,6.1,4.0
2003-03-16,Levity,2003,5.9,26.0
2002-03-01,The Man Without a Past,2002,7.0,76.0
2003-04-11,Anger Management,2003,5.9,937.0
2002-01-12,Better Luck Tomorrow,2002,6.5,28.0
2003-04-10,Ghosts of the Abyss,2003,7.1,39.0
2003-04-11,House of 1000 Corpses,2003,6.0,310.0
2002-08-23,Lilya 4-ever,2002,7.7,141.0
2003-04-18,Marion Bridge,2003,6.2,6.0
2002-01-11,XX/XY,2002,5.4,11.0
2003-03-28,Bulletproof Monk,2003,5.2,285.0
2003-04-16,Chasing Papi,2003,6.3,16.0
2003-04-16,A Mighty Wind,2003,6.6,75.0
2003-04-18,Holes,2003,6.7,396.0
2003-04-10,Malibu's Most Wanted,2003,4.7,77.0
2001-12-12,Winged Migration,2001,7.1,50.0
2000-11-03,Flickering Lights,2000,7.1,49.0
1971-12-29,Straw Dogs,1971,7.2,230.0
1957-06-28,Beginning of the End,1957,3.9,11.0
1971-03-12,The Andromeda Strain,1971,7.0,196.0
1994-04-22,Brainscan,1994,6.0,58.0
1966-09-14,Fahrenheit 451,1966,7.0,198.0
2002-06-21,I Am Trying to Break Your Heart,2002,8.0,4.0
1973-11-10,The Iceman Cometh,1973,5.1,7.0
1986-06-18,Legal Eagles,1986,5.9,53.0
1993-03-26,Married to It,1993,5.7,5.0
1988-09-28,Memories of Me,1988,5.0,3.0
2001-04-12,The Other Side of Heaven,2001,6.7,14.0
1984-11-09,A Private Function,1984,5.8,12.0
1990-10-26,Sibling Rivalry,1990,3.8,12.0
1993-09-10,Undercover Blues,1993,6.2,47.0
1986-02-14,Wildcats,1986,6.2,51.0
1978-10-24,The Wiz,1978,5.8,63.0
1962-03-07,Swords of Blood,1962,6.4,15.0
1991-04-05,The Marrying Man,1991,5.0,17.0
1991-10-23,My Father the Hero,1991,5.4,22.0
1991-02-22,Scenes from a Mall,1991,4.8,22.0
1990-02-02,Stella,1990,6.2,11.0
2003-04-25,Confidence,2003,6.4,127.0
2003-04-25,Identity,2003,7.1,1090.0
2003-04-25,It Runs in the Family,2003,5.2,8.0
2003-04-23,The Real Cancun,2003,3.3,8.0
2002-01-01,City of Ghosts,2002,5.4,18.0
2003-04-25,A Decade Under the Influence,2003,8.0,9.0
2002-12-06,House of Fools,2002,5.7,9.0
2001-01-27,Manic,2001,7.2,32.0
2002-11-21,People I Know,2002,5.5,48.0
2002-11-13,Spellbound,2002,7.2,43.0
2003-04-25,The Lizzie McGuire Movie,2003,5.8,292.0
2003-04-24,X2,2003,6.8,3572.0
2002-01-11,Blue Car,2002,6.7,13.0
2002-09-20,The Dancer Upstairs,2002,6.8,14.0
2002-05-22,Marooned in Iraq,2002,8.5,2.0
2003-05-02,Owning Mahowny,2003,6.8,37.0
2003-05-03,Daddy Day Care,2003,5.6,526.0
2002-09-02,Man on the Train,2002,6.9,25.0
2002-01-14,Only the Strong Survive,2002,7.0,1.0
2003-01-01,The Shape of Things,2003,6.4,38.0
2002-11-01,The Trip,2002,5.4,15.0
2002-05-22,Washington Heights,2002,8.5,3.0
2000-05-31,101 Reykjavik,2000,6.7,34.0
1985-12-10,A Chorus Line,1985,6.1,37.0
1986-01-01,Absolute Beginners,1986,5.9,14.0
1984-06-08,Beat Street,1984,6.9,21.0
1984-12-21,Breakin' 2: Electric Boogaloo,1984,5.1,28.0
1984-01-10,Breakin',1984,5.8,32.0
1986-08-02,Castle in the Sky,1986,7.8,877.0
2002-01-01,Hysterical Blindness,2002,4.9,8.0
1990-03-19,Lambada,1990,4.6,5.0
1980-06-13,Roadie,1980,6.8,12.0
1964-04-08,The Carpetbaggers,1964,5.3,7.0
1957-01-01,Les Girls,1957,6.4,11.0
1957-05-30,Gunfight at the O.K. Corral,1957,6.9,64.0
1956-07-17,High Society,1956,7.2,48.0
1953-11-26,Kiss Me Kate,1953,6.8,24.0
2003-05-15,The Matrix Reloaded,2003,6.7,3500.0
2002-02-28,Dracula: Pages from a Virgin's Diary,2002,6.9,8.0
2003-05-08,Down with Love,2003,6.1,202.0
2002-07-06,Cinemania,2002,7.1,10.0
2001-06-17,Friends and Family,2001,4.3,7.0
2002-05-17,The Spanish Apartment,2002,7.0,276.0
2002-07-13,Pokémon Heroes: Latios and Latias,2002,5.7,71.0
2003-05-23,Bruce Almighty,2003,6.4,3121.0
2003-05-23,The In-Laws,2003,5.6,68.0
2002-01-01,Gigantic (A Tale Of Two Johns),2002,8.0,2.0
2002-01-01,Respiro,2002,6.3,26.0
2003-05-30,Finding Nemo,2003,7.6,6292.0
2003-05-30,The Italian Job,2003,6.6,1949.0
2003-05-30,Wrong Turn,2003,6.0,652.0
2003-05-30,Capturing the Friedmans,2003,7.4,112.0
2002-01-01,The Three Marias,2002,5.8,2.0
2002-09-10,Together,2002,6.5,22.0
2003-06-05,2 Fast 2 Furious,2003,6.2,2087.0
2003-03-27,Love the Hard Way,2003,7.2,8.0
2003-01-30,Whale Rider,2003,7.1,114.0
1966-06-10,Nevada Smith,1966,6.9,34.0
1991-02-02,Once a Thief,1991,6.7,28.0
1997-08-27,Regeneration,1997,5.7,7.0
1957-07-18,Silk Stockings,1957,6.9,15.0
1972-01-01,Snowball Express,1972,6.3,8.0
1970-05-01,A Man Called Horse,1970,6.6,58.0
1998-08-26,For Sale,1998,5.5,3.0
1971-05-26,Big Jake,1971,6.8,55.0
1973-03-16,The Crazies,1973,6.0,67.0
1963-09-25,Dementia 13,1963,5.4,24.0
1937-10-20,Drole de Drame,1937,7.1,7.0
1971-06-23,Le Mans,1971,6.7,52.0
2001-09-14,Murder on a Sunday Morning,2001,7.7,13.0
1970-12-18,Rio Lobo,1970,6.2,47.0
1999-09-09,Siam Sunset,1999,6.7,6.0
1968-05-15,The Swimmer,1968,7.4,38.0
1952-09-20,The White Sheik,1952,7.2,29.0
1950-07-18,Treasure Island,1950,6.9,35.0
1990-01-25,Two Evil Eyes,1990,6.1,36.0
1966-01-01,Walk Don't Run,1966,6.3,18.0
1974-11-14,Animals Are Beautiful People,1974,7.5,21.0
1952-02-13,Bend of the River,1952,6.8,30.0
1976-10-22,Car Wash,1976,6.3,35.0
1961-01-01,Come September,1961,6.9,14.0
1939-11-30,Destry Rides Again,1939,6.9,39.0
1979-12-21,The Electric Horseman,1979,5.4,35.0
1962-10-24,Gay Purr-ee,1962,6.4,14.0
1987-01-01,Intervista,1987,5.6,11.0
1965-10-27,King Rat,1965,6.7,22.0
1992-09-03,Live Wire,1992,6.0,15.0
1990-11-23,Mr & Mrs Bridge,1990,5.3,17.0
1957-07-24,Night Passage,1957,5.7,14.0
1966-02-02,The Rare Breed,1966,5.7,18.0
1965-06-03,Shenandoah,1965,6.7,33.0
1992-04-03,Straight Talk,1992,6.0,22.0
1991-04-26,Oscar,1991,6.2,128.0
1997-03-28,The Sixth Man,1997,5.0,23.0
1955-02-12,The Far Country,1955,6.5,25.0
1970-12-21,The Railway Children,1970,7.1,25.0
1970-06-14,Two Mules for Sister Sara,1970,6.6,129.0
1950-07-12,Winchester '73,1950,7.5,72.0
1973-12-23,Ziggy  Stardust and the Spiders from Mars,1973,7.6,15.0
1955-02-02,Battle Cry,1955,5.3,9.0
1963-03-27,The Courtship of Eddie's Father,1963,4.7,7.0
1929-01-08,Man with a Movie Camera,1929,8.1,114.0
1945-02-17,"Objective, Burma!",1945,6.3,16.0
1951-01-27,Operation Pacific,1951,4.9,10.0
1993-04-09,This Boy’s Life,1993,7.0,192.0
1947-01-15,13 Rue Madeleine,1947,6.3,12.0
1964-04-06,633 Squadron,1964,5.3,16.0
1956-09-19,Attack,1956,6.8,24.0
1991-08-01,Barton Fink,1991,7.4,450.0
1969-09-15,Battle of Britain,1969,6.5,79.0
1992-12-04,Belle Époque,1992,6.9,32.0
1930-11-01,The Big Trail,1930,6.4,29.0
1946-09-28,Cloak and Dagger,1946,6.4,12.0
1961-10-30,The Comancheros,1961,6.4,43.0
1966-06-15,Duel at Diablo,1966,6.3,22.0
1965-12-15,The Flight of the Phoenix,1965,7.0,70.0
1960-09-09,From the Terrace,1960,5.8,5.0
1957-03-13,"Heaven Knows, Mr. Allison",1957,6.8,27.0
1972-01-26,The Hot Rock,1972,6.7,27.0
1958-04-03,"The Long, Hot Summer",1958,6.5,42.0
1934-04-24,Man of Aran,1934,7.0,7.0
1989-12-22,Music Box,1989,6.8,26.0
1960-11-07,North to Alaska,1960,5.7,25.0
1969-09-04,This Man Must Die,1969,7.5,22.0
1960-02-11,Sink the Bismarck!,1960,6.7,25.0
1966-06-21,The Blue Max,1966,6.6,29.0
1951-10-16,The Desert Fox: The Story of Rommel,1951,6.4,22.0
1962-12-21,The Trial,1962,7.4,80.0
1960-01-01,The Unforgiven,1960,5.8,35.0
1969-10-04,The Undefeated,1969,5.6,30.0
1998-01-18,Divine Trash,1998,7.4,13.0
1997-07-25,Good Burger,1997,5.4,113.0
1978-02-01,Jubilee,1978,5.9,16.0
1991-09-18,Mississippi Masala,1991,6.4,21.0
1947-10-03,Quai des Orfèvres,1947,7.8,15.0
1992-07-17,A Stranger Among Us,1992,5.2,22.0
1973-07-11,Cahill U.S. Marshal,1973,5.7,33.0
1970-07-23,Chisum,1970,6.7,49.0
1986-09-06,Defence of the Realm,1986,6.8,10.0
1989-07-21,Eat a Bowl of Tea,1989,3.0,2.0
1986-08-13,Half Moon Street,1986,5.1,16.0
1997-02-10,The Truce,1997,5.4,10.0
1990-03-30,Opportunity Knocks,1990,5.3,16.0
1991-10-11,Shattered,1991,6.1,32.0
1943-12-21,The Song of Bernadette,1943,7.4,16.0
1972-12-18,The Life and Times of Judge Roy Bean,1972,6.5,29.0
1990-01-01,The Spirit of '76,1990,3.3,4.0
1967-03-21,Thoroughly Modern Millie,1967,7.1,26.0
1990-02-23,Where the Heart Is,1990,6.3,9.0
2003-06-13,Dumb and Dumberer: When Harry Met Lloyd,2003,4.1,211.0
2003-06-20,From Justin to Kelly,2003,3.0,23.0
2003-06-09,Hollywood Homicide,2003,5.0,172.0
2003-06-13,Rugrats Go Wild,2003,5.6,62.0
2002-05-30,The Hard Word,2002,5.7,11.0
2002-01-01,The Heart of Me,2002,7.7,5.0
2002-10-30,Jet Lag,2002,5.7,26.0
2003-03-16,Loco Love,2003,4.7,3.0
2002-01-15,Manito,2002,5.5,2.0
2002-06-21,No Turning Back,2002,0.0,0.0
2002-06-06,Tycoon,2002,5.9,10.0
2003-06-16,Alex & Emma,2003,5.0,71.0
2002-02-28,On_Line,2002,6.0,1.0
1962-04-12,Experiment in Terror,1962,6.5,26.0
1996-02-16,Extasis,1996,6.3,4.0
1966-10-26,Is Paris Burning?,1966,7.2,25.0
1971-07-01,Murphy's War,1971,6.4,15.0
1921-12-28,Orphans of the Storm,1921,6.8,20.0
1973-11-03,The Satanic Rites of Dracula,1973,5.1,29.0
1999-10-06,Strange Planet,1999,6.1,5.0
2002-10-31,28 Days Later,2002,7.1,1816.0
2003-06-27,Charlie's Angels: Full Throttle,2003,5.2,930.0
2001-11-20,Gasoline,2001,5.4,4.0
1993-06-04,Ed and His Dead Mother,1993,5.5,12.0
2001-08-03,Fulltime Killer,2001,6.6,34.0
1999-06-11,Just a Little Harmless Sex,1999,6.0,2.0
2001-09-06,The Bank,2001,5.0,12.0
1974-03-05,Ali: Fear Eats the Soul,1974,7.5,74.0
1993-01-10,"Bodies, Rest & Motion",1993,4.3,8.0
1979-10-19,Jesus,1979,8.9,8.0
1964-06-24,The Long Ships,1964,6.0,15.0
1939-02-10,Made for Each Other,1939,4.9,7.0
1962-02-01,Ring of Terror,1962,1.2,5.0
1937-01-29,You Only Live Once,1937,7.2,27.0
1956-12-13,Anastasia,1956,6.7,31.0
1992-04-17,The Babe,1992,5.4,46.0
1991-01-18,Flight of the Intruder,1991,5.7,31.0
1977-03-18,Fun with Dick and Jane,1977,6.6,13.0
1953-12-22,Knights of the Round Table,1953,6.8,18.0
1979-06-22,The Main Event,1979,4.8,13.0
1964-01-29,Man's Favorite Sport?,1964,5.8,23.0
1992-10-01,Mr. Baseball,1992,5.8,37.0
1960-05-24,Never on Sunday,1960,6.0,14.0
1987-11-20,Nuts,1987,6.0,25.0
1991-05-25,Rhapsody in August,1991,6.8,33.0
1952-05-08,Scaramouche,1952,6.9,13.0
1970-08-14,Start the Revolution Without Me,1970,5.5,12.0
1965-02-09,Strange Bedfellows,1965,6.8,6.0
1976-05-26,The Tenant,1976,7.7,181.0
1993-09-25,The Advocate,1993,5.8,8.0
1972-12-21,Up the Sandbox,1972,7.3,2.0
1972-03-09,"What's Up, Doc?",1972,7.3,74.0
2003-06-19,Hulk,2003,5.3,1571.0
2003-07-02,"Legally Blonde 2: Red, White & Blonde",2003,5.2,386.0
2003-07-02,Sinbad: Legend of the Seven Seas,2003,6.6,386.0
2003-07-02,Terminator 3: Rise of the Machines,2003,5.9,2177.0
2003-05-18,Swimming Pool,2003,6.5,154.0
2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.5,7191.0
2002-01-01,Madame Satã,2002,5.6,9.0
2003-07-11,The League of Extraordinary Gentlemen,2003,5.7,1181.0
2002-01-01,The Cuckoo,2002,6.9,24.0
2001-04-04,The Holy Land,2001,0.0,0.0
2002-11-13,The Housekeeper,2002,6.1,8.0
2003-05-09,I Capture the Castle,2003,7.1,26.0
2000-01-01,Km. 0,2000,7.2,5.0
2003-01-01,Northfork,2003,6.8,26.0
2003-07-18,Bad Boys II,2003,6.3,1588.0
2003-07-18,How to Deal,2003,5.7,42.0
2003-04-06,Johnny English,2003,6.0,875.0
2002-06-06,The Anarchist Cookbook,2002,3.8,4.0
2002-09-05,Dirty Pretty Things,2002,6.8,135.0
2002-09-06,L'imbalsamatore,2002,7.0,17.0
2002-10-03,Garage Days,2002,4.9,6.0
2002-09-11,On the Run,2002,7.0,2.0
2002-07-27,The Sea Is Watching,2002,7.0,4.0
1995-03-31,Born to Be Wild,1995,5.0,11.0
1991-10-24,Curly Sue,1991,5.5,112.0
1994-10-14,Little Giants,1994,6.0,87.0
1990-02-09,Loose Cannons,1990,4.9,20.0
1959-07-17,The Mouse That Roared,1959,6.9,23.0
1963-05-16,Spencer's Mountain,1963,6.3,15.0
2003-08-08,Masked and Anonymous,2003,5.2,13.0
2003-07-21,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,1443.0
2003-07-22,Seabiscuit,2003,6.8,219.0
2003-07-25,Spy Kids 3-D: Game Over,2003,4.7,525.0
2001-09-08,Buffalo Soldiers,2001,6.5,93.0
2003-09-05,Camp,2003,5.6,24.0
2001-01-01,Hotel,2001,3.5,5.0
2003-01-17,"Lucía, Lucía",2003,6.3,4.0
2002-09-27,Mondays in the Sun,2002,7.0,37.0
2003-05-17,Scorched,2003,5.4,33.0
1972-12-17,Avanti!,1972,6.8,49.0
1991-01-18,Eve of Destruction,1991,5.1,9.0
1976-08-25,Gator,1976,4.9,16.0
1974-09-25,Juggernaut,1974,6.0,35.0
1991-01-30,Kickboxer 2:  The Road Back,1991,4.2,38.0
1964-12-22,"Kiss Me, Stupid",1964,6.7,28.0
1961-12-15,"One, Two, Three",1961,7.6,66.0
2001-01-22,Possible Loves,2001,6.4,6.0
1970-10-29,The Private Life of Sherlock Holmes,1970,6.9,61.0
1985-10-11,Remo Williams: The Adventure Begins...,1985,6.4,64.0
1989-10-19,The Blood of Heroes,1989,5.9,32.0
1966-11-02,"What's Up, Tiger Lily?",1966,5.6,49.0
1973-08-06,White Lightning,1973,6.2,21.0
2003-08-01,American Wedding,2003,6.0,1158.0
2003-08-01,Gigli,2003,3.5,105.0
2002-05-29,And Now... Ladies and Gentlemen...,2002,8.0,2.0
2003-08-01,Boys Life 4: Four Play,2003,5.0,1.0
2003-06-13,I'll Be There,2003,5.8,7.0
2002-10-24,The Magdalene Sisters,2002,7.4,114.0
2002-09-09,The Secret Lives of Dentists,2002,6.8,6.0
2003-08-03,Freaky Friday,2003,6.0,919.0
2002-05-01,Seaside,2002,2.5,2.0
2003-08-08,S.W.A.T.,2003,5.8,780.0
2003-08-08,Le Divorce,2003,4.8,40.0
2001-12-15,Princess Blade,2001,5.6,9.0
2003-08-05,Step Into Liquid,2003,7.1,17.0
1961-08-31,Accattone,1961,7.8,49.0
1994-09-23,The Making of '...And God Spoke',1994,5.4,5.0
1986-05-30,Big Trouble,1986,6.3,7.0
1988-04-15,Brain Damage,1988,6.8,54.0
1947-12-25,A Double Life,1947,7.1,13.0
1966-01-05,Hawks and Sparrows,1966,7.1,38.0
1975-01-27,The Man in the Glass Booth,1975,6.7,7.0
2002-02-21,Purpose,2002,3.5,2.0
1949-03-28,The Red Pony,1949,5.0,7.0
1995-06-13,Sex & the Other Man,1995,4.3,3.0
1964-09-04,The Gospel According to Matthew,1964,7.4,54.0
1970-02-04,The Honeymoon Killers,1970,6.7,23.0
1952-01-20,Umberto D.,1952,8.0,92.0
1992-09-09,Brother's Keeper,1992,7.4,14.0
1973-12-19,The Day of the Dolphin,1973,5.4,8.0
1990-04-06,I Love You to Death,1990,6.2,68.0
2003-08-15,Freddy vs. Jason,2003,5.8,608.0
2003-08-15,Grind,2003,6.1,34.0
2003-08-29,Open Range,2003,7.0,268.0
2001-07-12,Shaolin Soccer,2001,6.6,504.0
2003-08-15,Uptown Girls,2003,6.1,193.0
2003-08-15,American Splendor,2003,7.1,121.0
2002-03-08,The Backyard,2002,9.0,2.0
2002-05-17,Carnage,2002,7.5,2.0
2003-08-17,Passionada,2003,6.7,5.0
2003-03-14,Agent Cody Banks,2003,5.0,289.0
1994-08-26,Camp Nowhere,1994,5.5,39.0
1993-02-03,The Cemetery Club,1993,3.0,4.0
1997-05-20,Changing Habits,1997,1.0,1.0
1984-01-13,Hot Dog... The Movie,1984,4.4,24.0
1953-04-10,House of Wax,1953,7.0,75.0
1958-12-11,The Inn of the Sixth Happiness,1958,6.6,17.0
1993-11-19,Man's Best Friend,1993,5.5,26.0
1983-11-24,Of Unknown Origin,1983,5.9,19.0
1994-02-23,Royal Deceit,1994,6.1,10.0
1988-01-01,Rowing with the Wind,1988,4.2,5.0
1989-05-12,The Rachel Papers,1989,5.5,11.0
1985-03-01,The Sure Thing,1985,6.6,82.0
1986-08-29,Thrashin',1986,6.5,13.0
1983-04-08,Valley Girl,1983,6.2,61.0
1967-10-26,Wait Until Dark,1967,7.5,112.0
1993-06-14,Where the Rivers Flow North,1993,5.5,1.0
2000-05-19,Code Unknown,2000,6.9,59.0
1991-08-23,Showdown in Little Tokyo,1991,5.7,99.0
1953-11-03,Tokyo Story,1953,8.2,190.0
1986-08-29,The Green Ray,1986,7.4,25.0
1971-03-11,THX 1138,1971,6.4,265.0
1967-12-27,Valley of the Dolls,1967,6.7,30.0
2002-01-14,The Business of Fancydancing,2002,8.0,2.0
2000-01-29,Chunhyang,2000,6.8,12.0
1960-08-16,Tunes of Glory,1960,7.1,14.0
1949-01-01,Kind Hearts and Coronets,1949,7.6,109.0
2002-10-11,Ash Wednesday,2002,5.5,14.0
1972-07-14,Joe Kidd,1972,6.4,76.0
1983-12-16,The Keep,1983,5.9,56.0
1963-12-22,Atragon,1963,5.3,5.0
1957-12-28,The Mysterians,1957,6.1,8.0
1958-04-01,Attack of the Puppet People,1958,4.8,12.0
1953-06-13,"The Beast from 20,000 Fathoms",1953,6.7,41.0
1979-10-04,10,1979,5.4,69.0
1990-01-19,Tremors,1990,6.6,882.0
1948-07-20,The Red Shoes,1948,8.2,124.0
2000-11-10,Me & Isaac Newton,2000,0.0,0.0
1963-12-19,The Pink Panther,1963,6.9,246.0
1976-12-15,The Pink Panther Strikes Again,1976,6.8,119.0
1985-10-03,Commando,1985,6.4,753.0
1979-07-20,Dracula,1979,6.4,49.0
1972-09-15,The Discreet Charm of the Bourgeoisie,1972,7.4,140.0
1997-09-19,Waco: The Rules of Engagement,1997,7.3,10.0
1999-10-16,The Road Home,1999,7.7,52.0
1952-10-09,Ikiru,1952,8.1,208.0
2002-09-03,Comic Book Villains,2002,5.6,16.0
1990-09-05,An Angel at My Table,1990,6.9,30.0
2001-01-01,War Photographer,2001,7.3,17.0
1990-03-16,"Ay, Carmela!",1990,6.5,11.0
2002-04-14,War and Peace,2002,0.0,0.0
2001-08-29,Far Away,2001,7.0,1.0
1992-05-08,Incident at Oglala,1992,8.2,3.0
1996-10-02,Predictions of Fire,1996,8.0,1.0
1990-03-09,The Handmaid's Tale,1990,5.8,31.0
2001-01-01,Revolution OS,2001,6.9,21.0
2000-10-06,Live Nude Girls Unite!,2000,0.0,0.0
1999-07-09,All the Little Animals,1999,5.8,11.0
1998-09-16,Earth,1998,6.6,9.0
1996-09-06,Fire,1996,6.0,17.0
1971-03-01,Death in Venice,1971,7.1,78.0
2003-08-22,Marci X,2003,3.3,12.0
2003-08-15,The Medallion,2003,5.3,286.0
2003-08-21,My Boss's Daughter,2003,4.4,189.0
2001-09-27,Autumn Spring,2001,7.0,2.0
2003-08-22,The Battle of Shaker Heights,2003,5.6,17.0
2001-11-30,Don't Tempt Me,2001,5.9,19.0
2001-08-29,Dust,2001,5.6,8.0
2004-06-25,Stoked: The Rise And Fall Of Gator,2004,7.2,5.0
2002-07-04,Venus Boyz,2002,7.0,3.0
2002-04-26,Suddenly,2002,6.3,6.0
2003-08-08,Jeepers Creepers 2,2003,5.5,304.0
2002-01-01,Bollywood/Hollywood,2002,6.1,4.0
2003-08-29,Civil Brand,2003,5.3,4.0
2003-01-01,Nola,2003,0.0,0.0
2002-09-06,Once Upon a Time in the Midlands,2002,5.9,14.0
2002-04-27,The Other Side of the Bed,2002,6.3,24.0
2003-09-03,Zero Day,2003,7.1,24.0
2003-09-05,Dickie Roberts: Former Child Star,2003,5.1,65.0
2003-09-05,The Order,2003,4.8,93.0
2002-04-12,Home Room,2002,6.8,10.0
2003-09-05,Party Monster,2003,5.9,60.0
2001-01-01,Taking Sides,2001,6.1,12.0
2003-08-15,Cabin Fever,2003,5.5,332.0
2003-09-01,Matchstick Men,2003,6.9,515.0
2003-09-11,Once Upon a Time in Mexico,2003,6.2,605.0
2002-09-12,Dummy,2002,6.1,15.0
2003-08-31,Lost in Translation,2003,7.3,1943.0
2010-12-12,Luster,2010,4.8,4.0
2001-07-28,Millennium Actress,2001,7.8,123.0
2002-08-22,So Close,2002,6.4,47.0
1991-09-06,Children Of The Night,1991,4.4,8.0
1974-05-22,Daisy Miller,1974,5.8,5.0
2000-01-20,Enlightenment Guaranteed,2000,6.8,4.0
1985-05-03,Gotcha!,1985,6.1,47.0
1984-06-29,Hard to Hold,1984,4.8,2.0
1992-01-10,Kuffs,1992,5.3,60.0
1991-08-15,Once Upon a Time in China,1991,7.4,99.0
1992-09-16,Once Upon a Time in China II,1992,7.1,54.0
1993-01-01,Once Upon a Time in China III,1993,6.7,47.0
1973-05-09,Paper Moon,1973,7.8,154.0
1978-07-24,Sgt. Pepper's Lonely Hearts Club Band,1978,4.5,18.0
2001-03-16,A Song for Martin,2001,6.5,3.0
1968-05-15,Targets,1968,6.6,35.0
1963-04-02,The Ugly American,1963,5.8,8.0
1984-01-01,The Bostonians,1984,5.5,4.0
1978-06-27,Convoy,1978,6.1,78.0
1985-07-19,Day of the Dead,1985,6.9,276.0
1969-12-12,"Hello, Dolly!",1969,6.6,61.0
2001-01-01,I'm Going Home,2001,6.1,9.0
1992-02-28,Memoirs of an Invisible Man,1992,5.7,127.0
1979-11-07,The Rose,1979,6.8,28.0
1971-09-02,See No Evil,1971,6.1,11.0
2002-01-01,Super Sucker,2002,3.0,2.0
1953-04-02,Indiscretion of an American Wife,1953,5.3,8.0
1950-04-14,At War with the Army,1950,5.1,13.0
1991-08-09,Bingo,1991,4.5,21.0
1976-10-31,God Told Me To,1976,5.1,22.0
1989-01-01,"I, Madman",1989,5.4,19.0
1942-04-03,Jungle Book,1942,6.6,20.0
1985-11-15,Once Bitten,1985,5.3,75.0
1990-08-31,Shrimp on the Barbie,1990,6.4,7.0
1976-07-30,Squirm,1976,5.2,29.0
1960-08-03,The Adventures of Huckleberry Finn,1960,5.9,8.0
1979-05-25,The Brood,1979,6.6,138.0
1937-05-08,The Prince and the Pauper,1937,6.4,10.0
2003-08-27,Anything Else,2003,6.2,151.0
2003-09-19,Cold Creek Manor,2003,4.9,114.0
2003-09-17,The Fighting Temptations,2003,5.3,38.0
2003-09-19,Secondhand Lions,2003,6.9,264.0
2003-09-19,Underworld,2003,6.6,2556.0
2002-06-09,Bubba Ho-tep,2002,6.7,192.0
2003-09-05,Casa de los Babys,2003,5.6,8.0
2002-05-19,Demonlover,2002,5.7,13.0
2003-11-17,Esmeraldero,2003,0.0,0.0
2002-02-01,Close Your Eyes,2002,5.6,13.0
2002-11-17,In This World,2002,6.3,14.0
2002-09-13,Tibet: Cry of the Snow Lion,2002,8.0,4.0
2002-08-28,Yossi & Jagger,2002,6.7,28.0
2003-09-26,Duplex,2003,5.9,500.0
2003-09-26,The Rundown,2003,6.4,523.0
2003-04-30,Under the Tuscan Sun,2003,6.4,178.0
2000-02-06,Camera Obscura,2000,3.0,1.0
2003-05-16,Kart Racer,2003,3.8,2.0
2003-10-29,Luther,2003,6.6,84.0
2003-06-06,Mambo Italiano,2003,5.6,28.0
2003-03-07,My Life Without Me,2003,7.2,78.0
2003-09-26,National Lampoon Presents Dorm Daze,2003,4.6,34.0
